device,timestamp,server_id,server_name,server_country,server_sponsor,server_host,server_location,ping_ms,download_mbps,upload_mbps,download_bytes,upload_bytes,bytes_sent,bytes_received,client_ip,client_isp,isp,interface_external_ip,result_id,result_url,cli_type
OLT Alajuela 1,2025-08-21T02:55:42.554099,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.394,416.670832,443.546664,557173496,547467946,,,,,Telecable Costa Rica,200.105.99.72,096b0846-eb76-4610-8819-5c71b0ac1c52,https://www.speedtest.net/result/c/096b0846-eb76-4610-8819-5c71b0ac1c52,official
OLT Alajuela 1,2025-08-21T02:56:13.576627,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.248,14.065192,432.327376,15615308,524153059,,,,,Telecable Costa Rica,200.105.99.72,c73a31e5-aa07-4596-b85e-1f871437ef40,https://www.speedtest.net/result/c/c73a31e5-aa07-4596-b85e-1f871437ef40,official
OLT Alajuela 1,2025-08-21T03:01:43.616573,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.262,415.210392,445.211888,560243476,451146740,,,,,Telecable Costa Rica,200.105.99.72,f11a21f3-92db-44a9-aea1-54498f7c9b2b,https://www.speedtest.net/result/c/f11a21f3-92db-44a9-aea1-54498f7c9b2b,official
OLT Alajuela 1,2025-08-21T03:02:18.515978,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.236,22.553056,425.097376,34248060,478041149,,,,,Telecable Costa Rica,200.105.99.72,381b0b6b-474f-425b-b164-f6ebe95fffd2,https://www.speedtest.net/result/c/381b0b6b-474f-425b-b164-f6ebe95fffd2,official
OLT Alajuela 1,2025-08-21T03:07:50.230733,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.37,416.040168,443.726944,555787496,518096580,,,,,Telecable Costa Rica,200.105.99.72,ff9fdd3e-1f71-404a-87e7-2e02d3eb4279,https://www.speedtest.net/result/c/ff9fdd3e-1f71-404a-87e7-2e02d3eb4279,official
OLT Alajuela 1,2025-08-21T03:08:25.522117,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.361,19.714584,414.14952,28729964,550882371,,,,,Telecable Costa Rica,200.105.99.72,79831676-8bdb-45c0-b786-f64036965dbd,https://www.speedtest.net/result/c/79831676-8bdb-45c0-b786-f64036965dbd,official
OLT Alajuela 1,2025-08-21T03:13:57.710053,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.126,415.524536,444.10884,566240824,559957517,,,,,Telecable Costa Rica,200.105.99.72,af383448-64dd-43a5-aec2-5a69cfa93329,https://www.speedtest.net/result/c/af383448-64dd-43a5-aec2-5a69cfa93329,official
OLT Alajuela 1,2025-08-21T03:14:33.216048,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.221,17.07944,425.553096,28893756,434415977,,,,,Telecable Costa Rica,200.105.99.72,1bf334f6-f3c8-4d99-a92e-3e1556091a3e,https://www.speedtest.net/result/c/1bf334f6-f3c8-4d99-a92e-3e1556091a3e,official
OLT Alajuela 1,2025-08-21T03:20:04.970982,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.224,414.914288,443.054152,565384568,517230327,,,,,Telecable Costa Rica,200.105.99.72,b9399767-f96c-4598-ad68-ff3689fdfb4f,https://www.speedtest.net/result/c/b9399767-f96c-4598-ad68-ff3689fdfb4f,official
OLT Alajuela 1,2025-08-21T03:20:39.543314,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.104,18.9106,434.20244,25177372,607084143,,,,,Telecable Costa Rica,200.105.99.72,d5d549ad-ed5a-483e-9bbc-9e520c81c9c1,https://www.speedtest.net/result/c/d5d549ad-ed5a-483e-9bbc-9e520c81c9c1,official
OLT Alajuela 1,2025-08-21T03:26:10.742806,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.265,414.57668,443.904336,562835372,517358991,,,,,Telecable Costa Rica,200.105.99.72,3bc5fa28-48f6-4147-a7b9-f7cf5a7131d9,https://www.speedtest.net/result/c/3bc5fa28-48f6-4147-a7b9-f7cf5a7131d9,official
OLT Alajuela 1,2025-08-21T03:26:45.669070,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.207,21.92832,418.9974,39639368,407523739,,,,,Telecable Costa Rica,200.105.99.72,0b6cdc34-1cc1-4815-8f3a-0b19b66cc599,https://www.speedtest.net/result/c/0b6cdc34-1cc1-4815-8f3a-0b19b66cc599,official
OLT Alajuela 1,2025-08-21T03:32:16.111680,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.216,411.57576,443.380448,545457596,499072841,,,,,Telecable Costa Rica,200.105.99.72,78071278-3a21-4ded-8f6d-ecfa68a2f560,https://www.speedtest.net/result/c/78071278-3a21-4ded-8f6d-ecfa68a2f560,official
OLT Alajuela 1,2025-08-21T03:32:52.667121,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.277,20.436392,442.358448,31438180,620556633,,,,,Telecable Costa Rica,200.105.99.72,1e6f5c78-87af-4068-876a-9dd2d66351e6,https://www.speedtest.net/result/c/1e6f5c78-87af-4068-876a-9dd2d66351e6,official
